,SLC17A7|EN,SATB2|EN,RBFOX3|EN,GAD1|IN,GAD2|IN,AQP4|Astro,GFAP|Astro,PLP1|Oligo,MOBP|Oligo,PDGFRA|OPC,CSF1R|Micro,DCX|Immature,subtype,age_years,cohort,n_cells,agebin,EN_marker_mean,contam_marker_mean,EN_minus_contam
Donor_1157__EN_L3_5_IT_3,4.4833283968766935,6.046583979182591,6.183102262747198,1.329378287401498,1.329378287401498,1.0067467391879195,1.6424935245320582,3.5262718170245675,2.4353749812836996,0.0,0.5274900077834056,3.3599216021987073,EN_L3_5_IT_3,50.0,PsychAD-V3,72,20+,5.571004879602161,1.4746417055768308,4.09636317402533
Donor_1159__EN_L2_3_IT,4.419706288580371,5.984539421905073,6.309756212036272,1.510716077617884,1.2940365413124582,2.08690696735905,0.6325971542281577,4.451078735890316,2.4501357839306492,0.0,0.0,3.7695300081490606,EN_L2_3_IT,19.0,PsychAD-V3,25,10-20,5.571333974173906,1.5531839075423146,4.018150066631591
Donor_1174__EN_L2_3_IT,4.26448414591614,5.914009362304647,5.962894546696655,1.3604277558888032,1.3604277558888032,2.8796247491184035,2.6210813848710854,4.016018507930095,3.16138696354494,0.0,0.7697118983421962,4.105876508416458,EN_L2_3_IT,42.0,PsychAD-V3,39,20+,5.380462684972481,2.021084876948041,3.35937780802444
Donor_1174__EN_L3_5_IT_2,4.801613765134455,5.901359649940062,5.691470235641064,2.0065601561417403,1.7627196326549783,2.630115874446603,1.8920538292644764,4.689798861918967,3.54955606961452,0.5904005239429528,1.6141379505978726,3.087512987449502,EN_L3_5_IT_2,42.0,PsychAD-V3,46,20+,5.464814550238526,2.341917862322764,3.1228966879157625
Donor_1174__EN_L3_5_IT_3,4.626281700307829,5.7339500582863625,6.16447190390812,1.854078762858073,0.7870232711564127,2.4135182104991952,1.854078762858073,4.036951964836219,2.9419468750856943,0.0,1.3843219577949133,3.216350450741302,EN_L3_5_IT_3,42.0,PsychAD-V3,46,20+,5.508234554167437,1.9089899756360724,3.5992445785313647
Donor_1174__EN_L6_IT_1,4.4796836862048,6.13916412681057,6.084778693138663,1.983254725972922,1.2839794958799131,2.2902427980450026,1.2839794958799131,3.9841914194358505,2.8741451915669423,0.0,0.7151006412417757,4.103145190498944,EN_L6_IT_1,42.0,PsychAD-V3,36,20+,5.567875502051344,1.8018617210027899,3.7660137810485548
Donor_1185__EN_L2_3_IT,3.9437494401094733,5.978339124205956,6.087348242258872,2.0788314170890714,1.1826860048969126,1.91112458073965,1.243827755536381,4.253255158591031,2.3674103279600787,0.6004590038977284,0.9730153175779883,3.741181719815784,EN_L2_3_IT,26.0,PsychAD-V3,182,20+,5.336478935524767,1.8263261957861052,3.510152739738661
Donor_1185__EN_L3_5_IT_1,4.667851851344848,6.286956904521788,5.788667458770229,2.8361266165266605,0.0,0.0,2.064124720227253,4.452410405392801,2.691703868206992,0.0,0.0,3.350381036750247,EN_L3_5_IT_1,26.0,PsychAD-V3,25,20+,5.581158738212288,1.5055457012942135,4.0756130369180745
Donor_1185__EN_L3_5_IT_2,4.017846895407439,6.060415706237212,6.005888376717942,2.057025042279435,0.0,2.3122268702868007,1.1860799850528494,4.301020906504115,3.258728309446003,0.0,1.7135171757184877,2.515363520507878,EN_L3_5_IT_2,26.0,PsychAD-V3,28,20+,5.361383659454198,1.8535747861609615,3.5078088732932367
Donor_1185__EN_L3_5_IT_3,4.380399919994764,5.767589863449293,6.531942018014446,2.2786335150111747,1.455411919714019,1.455411919714019,1.6829977915648386,4.232885561121519,2.5687558373548574,0.0,1.455411919714019,2.7239505184099344,EN_L3_5_IT_3,26.0,PsychAD-V3,43,20+,5.559977267152834,1.8911885580243057,3.6687887091285285
Donor_1194__EN_L2_3_IT,4.170757700465869,5.998339533919177,6.332444053452111,1.5992619450988932,1.4079814017168133,2.4220008594101996,0.6957918103071897,4.030539892375305,2.5132905193331356,0.30677443174031016,0.35826256092687014,4.088765988253559,EN_L2_3_IT,13.0,PsychAD-V3,412,10-20,5.5005137626123854,1.6667379276135899,3.8337758349987956
